zRot: 60.0, x: 7.5, y: -10.0, z: 13.75, cut: 1, energy: -231.45249939, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_406, LV: LV_30, LJ: LJ_6, LCDR3: LCDR3_29, cluster: 6, assembly: 41, Pre-Relaxed: -241.0833, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 1, energy: -195.10609436, HV: HV_80, HJ: HJ_1, HCDR3: HCDR3_277, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 2, assembly: 9, Pre-Relaxed: -195.1114, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 2, energy: -194.985305786, HV: HV_41, HJ: HJ_1, HCDR3: HCDR3_277, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 2, assembly: 10, Pre-Relaxed: -194.9956, Relaxed: nan
zRot: 180.0, x: 2.5, y: 2.5, z: 16.25, cut: 4, energy: -194.796600342, HV: HV_44, HJ: HJ_5, HCDR3: HCDR3_307, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 2, assembly: 11, Pre-Relaxed: -194.7965, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 3, energy: -194.437698364, HV: HV_44, HJ: HJ_1, HCDR3: HCDR3_277, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 2, assembly: 12, Pre-Relaxed: -194.4431, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 4, energy: -194.406997681, HV: HV_46, HJ: HJ_1, HCDR3: HCDR3_277, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 2, assembly: 13, Pre-Relaxed: -194.4124, Relaxed: nan
zRot: 180.0, x: 2.5, y: 2.5, z: 16.25, cut: 5, energy: -194.339294434, HV: HV_46, HJ: HJ_1, HCDR3: HCDR3_307, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 2, assembly: 14, Pre-Relaxed: -194.3391, Relaxed: nan
zRot: 120.0, x: 5.0, y: 2.5, z: 16.25, cut: 5, energy: -194.141906738, HV: HV_43, HJ: HJ_1, HCDR3: HCDR3_277, LV: KV_19, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 2, assembly: 15, Pre-Relaxed: -194.1472, Relaxed: nan
zRot: 120.0, x: 2.5, y: 2.5, z: 12.5, cut: 4, energy: -186.591705322, HV: HV_80, HJ: HJ_5, HCDR3: HCDR3_4, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_188, cluster: 2, assembly: 16, Pre-Relaxed: -192.8051, Relaxed: nan
zRot: 120.0, x: -2.5, y: 5.0, z: 12.5, cut: 1, energy: -182.354705811, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_34, LJ: KJ_2, LCDR3: KCDR3_6, cluster: 5, assembly: 33, Pre-Relaxed: -192.2243, Relaxed: nan
zRot: 120.0, x: -2.5, y: 5.0, z: 12.5, cut: 2, energy: -180.529998779, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_64, LJ: KJ_3, LCDR3: KCDR3_6, cluster: 5, assembly: 34, Pre-Relaxed: -190.4011, Relaxed: nan
zRot: 120.0, x: -2.5, y: 5.0, z: 12.5, cut: 3, energy: -180.501403809, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_51, LJ: KJ_3, LCDR3: KCDR3_6, cluster: 5, assembly: 35, Pre-Relaxed: -190.3725, Relaxed: nan
zRot: 120.0, x: -2.5, y: 5.0, z: 12.5, cut: 4, energy: -179.740097046, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_52, LJ: KJ_3, LCDR3: KCDR3_6, cluster: 5, assembly: 36, Pre-Relaxed: -189.6112, Relaxed: nan
zRot: 120.0, x: -2.5, y: 5.0, z: 12.5, cut: 5, energy: -178.344192505, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_53, LJ: KJ_3, LCDR3: KCDR3_6, cluster: 5, assembly: 37, Pre-Relaxed: -188.1981, Relaxed: nan
zRot: 0.0, x: 2.5, y: 2.5, z: 15.0, cut: 1, energy: -181.498596191, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_64, LJ: KJ_5, LCDR3: KCDR3_114, cluster: 3, assembly: 17, Pre-Relaxed: -183.2759, Relaxed: nan
zRot: 0.0, x: 2.5, y: 2.5, z: 15.0, cut: 2, energy: -180.843307495, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_18, LJ: KJ_5, LCDR3: KCDR3_114, cluster: 3, assembly: 18, Pre-Relaxed: -182.6207, Relaxed: nan
zRot: 0.0, x: 0.0, y: 2.5, z: 15.0, cut: 1, energy: -179.744400024, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_52, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 3, assembly: 19, Pre-Relaxed: -180.5924, Relaxed: nan
zRot: 0.0, x: 0.0, y: 2.5, z: 15.0, cut: 2, energy: -179.664794922, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_64, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 3, assembly: 20, Pre-Relaxed: -180.5128, Relaxed: nan
zRot: 0.0, x: 0.0, y: 2.5, z: 15.0, cut: 3, energy: -179.361801147, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_51, LJ: KJ_3, LCDR3: KCDR3_114, cluster: 3, assembly: 21, Pre-Relaxed: -180.2097, Relaxed: nan
zRot: 0.0, x: 2.5, y: 2.5, z: 15.0, cut: 3, energy: -178.23210144, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_52, LJ: KJ_5, LCDR3: KCDR3_114, cluster: 3, assembly: 22, Pre-Relaxed: -180.0095, Relaxed: nan
zRot: 300.0, x: 0.0, y: -2.5, z: 16.25, cut: 2, energy: -179.028503418, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_197, LV: KV_67, LJ: KJ_1, LCDR3: KCDR3_115, cluster: 7, assembly: 53, Pre-Relaxed: -179.9929, Relaxed: nan
zRot: 0.0, x: 2.5, y: 2.5, z: 15.0, cut: 4, energy: -177.98739624, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_51, LJ: KJ_5, LCDR3: KCDR3_114, cluster: 3, assembly: 23, Pre-Relaxed: -179.7647, Relaxed: nan
zRot: 240.0, x: -5.0, y: -2.5, z: 15.0, cut: 1, energy: -177.121398926, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_197, LV: KV_18, LJ: KJ_4, LCDR3: KCDR3_113, cluster: 5, assembly: 38, Pre-Relaxed: -179.673, Relaxed: nan
zRot: 300.0, x: 0.0, y: 0.0, z: 15.0, cut: 4, energy: -178.230194092, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_92, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 7, assembly: 54, Pre-Relaxed: -179.5978, Relaxed: nan
zRot: 240.0, x: -5.0, y: -2.5, z: 15.0, cut: 2, energy: -175.906005859, HV: HV_137, HJ: HJ_1, HCDR3: HCDR3_197, LV: KV_18, LJ: KJ_4, LCDR3: KCDR3_113, cluster: 5, assembly: 39, Pre-Relaxed: -178.4575, Relaxed: nan
zRot: 300.0, x: 0.0, y: 0.0, z: 15.0, cut: 5, energy: -175.055801392, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_42, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_115, cluster: 7, assembly: 55, Pre-Relaxed: -176.4234, Relaxed: nan
zRot: 300.0, x: 5.0, y: -2.5, z: 16.25, cut: 3, energy: -174.020904541, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_277, LV: LV_37, LJ: LJ_5, LCDR3: LCDR3_29, cluster: 5, assembly: 40, Pre-Relaxed: -174.6272, Relaxed: nan
zRot: 0.0, x: 0.0, y: 5.0, z: 13.75, cut: 1, energy: -169.832702637, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_126, LV: KV_54, LJ: KJ_1, LCDR3: KCDR3_128, cluster: 3, assembly: 24, Pre-Relaxed: -170.4808, Relaxed: nan
zRot: 0.0, x: 5.0, y: -7.5, z: 15.0, cut: 4, energy: -170.082000732, HV: HV_116, HJ: HJ_4, HCDR3: HCDR3_71, LV: KV_15, LJ: KJ_3, LCDR3: KCDR3_113, cluster: 1, assembly: 4, Pre-Relaxed: -170.3348, Relaxed: nan
zRot: 120.0, x: 2.5, y: 0.0, z: 12.5, cut: 1, energy: -166.50579834, HV: HV_106, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_189, cluster: 1, assembly: 5, Pre-Relaxed: -169.9123, Relaxed: nan
zRot: 120.0, x: 2.5, y: 0.0, z: 12.5, cut: 2, energy: -165.984802246, HV: HV_103, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_6, LJ: KJ_4, LCDR3: KCDR3_189, cluster: 1, assembly: 6, Pre-Relaxed: -169.3891, Relaxed: nan
zRot: 120.0, x: 2.5, y: 0.0, z: 12.5, cut: 3, energy: -165.885604858, HV: HV_107, HJ: HJ_1, HCDR3: HCDR3_4, LV: KV_6, LJ: KJ_4, LCDR3: KCDR3_189, cluster: 1, assembly: 7, Pre-Relaxed: -169.288, Relaxed: nan
zRot: 60.0, x: 10.0, y: -5.0, z: 13.75, cut: 3, energy: -162.609603882, HV: HV_110, HJ: HJ_5, HCDR3: HCDR3_277, LV: KV_32, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 1, assembly: 8, Pre-Relaxed: -164.56, Relaxed: nan
zRot: 300.0, x: -2.5, y: 2.5, z: 15.0, cut: 1, energy: -148.88470459, HV: HV_17, HJ: HJ_3, HCDR3: HCDR3_124, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_16, cluster: 7, assembly: 56, Pre-Relaxed: -148.8221, Relaxed: nan
