START	rep1_3mls_01	on 2017 June 11 at 11:08:58
TIME	parts_111_to_111_interaction_energies	68.58
TIME	parts_112_to_112_interaction_energies	64.37
TIME	parts_114_to_114_interaction_energies	71.49
TIME	parts_235_to_235_interaction_energies	65.86
TIME	parts_241_to_241_interaction_energies	70.11
TIME	parts_287_to_287_interaction_energies	71.01
TIME	parts_242_to_242_interaction_energies	71.48
TIME	parts_245_to_245_interaction_energies	71.3
TIME	parts_243_to_243_interaction_energies	72.38
TIME	parts_244_to_244_interaction_energies	72.8
TIME	parts_210_to_210_interaction_energies	73.38
TIME	parts_237_to_237_interaction_energies	71.12
TIME	parts_238_to_238_interaction_energies	71.53
TIME	parts_239_to_239_interaction_energies	72.05
TIME	parts_236_to_236_interaction_energies	72.74
TIME	parts_240_to_240_interaction_energies	72.95
TIME	parts_270_to_270_interaction_energies	72.79
TIME	parts_268_to_268_interaction_energies	66.0
TIME	parts_261_to_261_interaction_energies	73.57
TIME	parts_267_to_267_interaction_energies	70.91
TIME	parts_264_to_264_interaction_energies	74.44
TIME	parts_265_to_265_interaction_energies	73.28
TIME	parts_266_to_266_interaction_energies	73.09
TIME	parts_269_to_269_interaction_energies	73.98
TIME	parts_263_to_263_interaction_energies	74.6
TIME	parts_262_to_262_interaction_energies	75.52
TIME	parts_374_to_374_interaction_energies	62.43
TIME	parts_157_to_157_interaction_energies	65.07
TIME	parts_367_to_367_interaction_energies	65.81
TIME	parts_369_to_369_interaction_energies	66.22
TIME	parts_161_to_161_interaction_energies	68.18
TIME	parts_373_to_373_interaction_energies	66.1
TIME	parts_370_to_370_interaction_energies	66.96
TIME	parts_160_to_160_interaction_energies	69.44
TIME	parts_159_to_159_interaction_energies	70.63
TIME	parts_156_to_156_interaction_energies	70.91
TIME	parts_152_to_152_interaction_energies	72.06
TIME	parts_158_to_158_interaction_energies	72.94
TIME	parts_363_to_363_interaction_energies	75.69
TIME	parts_150_to_150_interaction_energies	71.61
TIME	parts_151_to_151_interaction_energies	72.79
TIME	parts_364_to_364_interaction_energies	79.13
TIME	parts_365_to_365_interaction_energies	81.44
TIME	parts_1_to_1_interaction_energies	63.77
TIME	parts_7_to_7_interaction_energies	67.51
TIME	parts_9_to_9_interaction_energies	68.69
TIME	parts_8_to_8_interaction_energies	69.66
TIME	parts_2_to_2_interaction_energies	66.77
TIME	parts_5_to_5_interaction_energies	69.96
TIME	parts_6_to_6_interaction_energies	70.63
TIME	parts_4_to_4_interaction_energies	68.68
TIME	parts_3_to_3_interaction_energies	69.82
TIME	parts_301_to_301_interaction_energies	66.33
TIME	parts_299_to_299_interaction_energies	72.81
TIME	parts_304_to_304_interaction_energies	74.71
TIME	parts_305_to_305_interaction_energies	75.28
TIME	parts_303_to_303_interaction_energies	73.61
TIME	parts_302_to_302_interaction_energies	73.62
TIME	parts_300_to_300_interaction_energies	74.25
TIME	parts_294_to_294_interaction_energies	74.56
TIME	parts_293_to_293_interaction_energies	76.71
TIME	parts_296_to_296_interaction_energies	75.05
TIME	parts_298_to_298_interaction_energies	75.06
TIME	parts_297_to_297_interaction_energies	77.33
TIME	parts_295_to_295_interaction_energies	78.09
TIME	parts_312_to_312_interaction_energies	65.54
TIME	parts_317_to_317_interaction_energies	73.84
TIME	parts_310_to_310_interaction_energies	74.74
TIME	parts_315_to_315_interaction_energies	71.53
TIME	parts_311_to_311_interaction_energies	74.94
TIME	parts_309_to_309_interaction_energies	75.13
TIME	parts_348_to_348_interaction_energies	76.59
TIME	parts_313_to_313_interaction_energies	73.97
TIME	parts_316_to_316_interaction_energies	77.69
TIME	parts_286_to_286_interaction_energies	74.84
TIME	parts_284_to_284_interaction_energies	75.81
TIME	parts_285_to_285_interaction_energies	76.92
TIME	parts_349_to_349_interaction_energies	76.52
TIME	parts_56_to_56_interaction_energies	71.26
TIME	parts_395_to_395_interaction_energies	64.56
TIME	parts_392_to_392_interaction_energies	65.19
TIME	parts_393_to_393_interaction_energies	66.32
TIME	parts_394_to_394_interaction_energies	66.61
TIME	parts_383_to_383_interaction_energies	65.55
TIME	parts_384_to_384_interaction_energies	65.56
TIME	parts_386_to_386_interaction_energies	66.29
TIME	parts_396_to_396_interaction_energies	62.01
TIME	parts_387_to_387_interaction_energies	66.85
TIME	parts_388_to_388_interaction_energies	64.51
TIME	parts_390_to_390_interaction_energies	65.72
TIME	parts_382_to_382_interaction_energies	67.91
TIME	parts_380_to_380_interaction_energies	67.88
TIME	parts_381_to_381_interaction_energies	68.44
TIME	parts_389_to_389_interaction_energies	65.73
TIME	parts_391_to_391_interaction_energies	66.84
TIME	parts_379_to_379_interaction_energies	69.72
TIME	parts_168_to_168_interaction_energies	65.61
TIME	parts_173_to_173_interaction_energies	70.96
TIME	parts_172_to_172_interaction_energies	71.49
TIME	parts_170_to_170_interaction_energies	72.07
TIME	parts_171_to_171_interaction_energies	72.15
TIME	parts_169_to_169_interaction_energies	73.08
TIME	parts_166_to_166_interaction_energies	70.71
TIME	parts_165_to_165_interaction_energies	72.43
TIME	parts_164_to_164_interaction_energies	73.03
TIME	parts_163_to_163_interaction_energies	74.96
TIME	parts_162_to_162_interaction_energies	74.97
TIME	parts_407_to_407_interaction_energies	62.59
TIME	parts_412_to_412_interaction_energies	65.81
TIME	parts_411_to_411_interaction_energies	67.49
TIME	parts_408_to_408_interaction_energies	65.95
TIME	parts_406_to_406_interaction_energies	68.17
TIME	parts_403_to_403_interaction_energies	69.39
TIME	parts_405_to_405_interaction_energies	69.5
TIME	parts_402_to_402_interaction_energies	69.43
TIME	parts_404_to_404_interaction_energies	69.73
TIME	parts_409_to_409_interaction_energies	66.25
TIME	parts_410_to_410_interaction_energies	68.18
TIME	parts_432_to_432_interaction_energies	64.77
TIME	parts_433_to_433_interaction_energies	65.14
TIME	parts_431_to_431_interaction_energies	65.84
TIME	parts_358_to_358_interaction_energies	75.41
TIME	parts_359_to_359_interaction_energies	78.48
TIME	parts_360_to_360_interaction_energies	80.19
TIME	parts_362_to_362_interaction_energies	78.76
TIME	parts_361_to_361_interaction_energies	79.96
TIME	parts_246_to_246_interaction_energies	65.91
TIME	parts_59_to_59_interaction_energies	71.36
TIME	parts_61_to_61_interaction_energies	71.92
TIME	parts_62_to_62_interaction_energies	71.54
TIME	parts_60_to_60_interaction_energies	73.63
TIME	parts_401_to_401_interaction_energies	69.82
TIME	parts_357_to_357_interaction_energies	69.14
TIME	parts_356_to_356_interaction_energies	82.04
TIME	parts_174_to_174_interaction_energies	70.36
TIME	parts_454_to_454_interaction_energies	143.98
TIME	parts_452_to_452_interaction_energies	142.66
TIME	parts_453_to_453_interaction_energies	142.84
TIME	parts_446_to_446_interaction_energies	142.52
TIME	parts_449_to_449_interaction_energies	147.06
TIME	parts_448_to_448_interaction_energies	147.05
TIME	parts_445_to_445_interaction_energies	146.81
TIME	parts_444_to_444_interaction_energies	148.01
TIME	parts_450_to_450_interaction_energies	148.09
TIME	parts_57_to_57_interaction_energies	66.62
TIME	parts_451_to_451_interaction_energies	148.9
TIME	parts_415_to_415_interaction_energies	68.17
TIME	parts_414_to_414_interaction_energies	68.2
TIME	parts_418_to_418_interaction_energies	64.39
TIME	parts_413_to_413_interaction_energies	68.02
TIME	parts_400_to_400_interaction_energies	71.34
TIME	parts_417_to_417_interaction_energies	68.13
TIME	parts_416_to_416_interaction_energies	67.62
TIME	parts_257_to_257_interaction_energies	65.87
TIME	parts_252_to_252_interaction_energies	70.98
TIME	parts_253_to_253_interaction_energies	73.27
TIME	parts_250_to_250_interaction_energies	71.38
TIME	parts_256_to_256_interaction_energies	73.25
TIME	parts_255_to_255_interaction_energies	73.33
TIME	parts_251_to_251_interaction_energies	71.67
TIME	parts_254_to_254_interaction_energies	73.87
TIME	parts_258_to_258_interaction_energies	72.02
TIME	parts_248_to_248_interaction_energies	71.27
TIME	parts_249_to_249_interaction_energies	71.94
TIME	parts_247_to_247_interaction_energies	73.74
TIME	parts_534_to_534_interaction_energies	145.57
TIME	parts_621_to_621_interaction_energies	67.31
TIME	parts_443_to_443_interaction_energies	142.3
TIME	parts_478_to_478_interaction_energies	141.05
TIME	parts_660_to_660_interaction_energies	65.21
TIME	parts_661_to_661_interaction_energies	65.98
TIME	parts_435_to_435_interaction_energies	146.41
TIME	parts_657_to_657_interaction_energies	65.54
TIME	parts_439_to_439_interaction_energies	145.86
TIME	parts_442_to_442_interaction_energies	145.86
TIME	parts_437_to_437_interaction_energies	148.76
TIME	parts_436_to_436_interaction_energies	149.15
TIME	parts_438_to_438_interaction_energies	146.35
TIME	parts_434_to_434_interaction_energies	147.58
TIME	parts_658_to_658_interaction_energies	66.05
TIME	parts_659_to_659_interaction_energies	65.97
TIME	parts_665_to_665_interaction_energies	72.15
TIME	parts_701_to_701_interaction_energies	64.94
TIME	parts_702_to_702_interaction_energies	65.39
TIME	parts_703_to_703_interaction_energies	64.29
TIME	parts_707_to_707_interaction_energies	66.22
TIME	parts_705_to_705_interaction_energies	67.72
TIME	parts_706_to_706_interaction_energies	68.12
TIME	parts_704_to_704_interaction_energies	68.4
TIME	parts_697_to_697_interaction_energies	67.56
TIME	parts_698_to_698_interaction_energies	66.41
TIME	parts_700_to_700_interaction_energies	66.02
TIME	parts_699_to_699_interaction_energies	65.55
TIME	parts_176_to_176_interaction_energies	70.93
TIME	parts_177_to_177_interaction_energies	71.04
TIME	parts_175_to_175_interaction_energies	73.62
TIME	parts_455_to_455_interaction_energies	149.63
TIME	parts_423_to_423_interaction_energies	65.48
TIME	parts_421_to_421_interaction_energies	66.69
TIME	parts_419_to_419_interaction_energies	67.93
TIME	parts_420_to_420_interaction_energies	68.21
TIME	parts_422_to_422_interaction_energies	68.1
TIME	parts_424_to_424_interaction_energies	65.76
TIME	parts_426_to_426_interaction_energies	66.51
TIME	parts_425_to_425_interaction_energies	67.39
TIME	parts_427_to_427_interaction_energies	67.67
TIME	parts_272_to_272_interaction_energies	71.83
TIME	parts_260_to_260_interaction_energies	71.85
TIME	parts_259_to_259_interaction_energies	71.5
TIME	parts_663_to_663_interaction_energies	66.04
TIME	parts_662_to_662_interaction_energies	67.19
TIME	parts_664_to_664_interaction_energies	66.64
TIME	parts_656_to_656_interaction_energies	68.05
TIME	parts_655_to_655_interaction_energies	68.05
TIME	parts_63_to_63_interaction_energies	72.01
TIME	parts_696_to_696_interaction_energies	65.62
TIME	parts_576_to_576_interaction_energies	66.23
TIME	parts_574_to_574_interaction_energies	62.86
TIME	parts_575_to_575_interaction_energies	65.94
TIME	parts_611_to_611_interaction_energies	65.86
TIME	parts_607_to_607_interaction_energies	66.2
TIME	parts_609_to_609_interaction_energies	65.77
TIME	parts_608_to_608_interaction_energies	65.41
TIME	parts_606_to_606_interaction_energies	68.01
TIME	parts_610_to_610_interaction_energies	66.69
TIME	parts_646_to_646_interaction_energies	65.99
TIME	parts_642_to_642_interaction_energies	64.55
TIME	parts_643_to_643_interaction_energies	64.49
TIME	parts_644_to_644_interaction_energies	67.19
TIME	parts_645_to_645_interaction_energies	67.45
TIME	parts_479_to_479_interaction_energies	148.15
TIME	parts_480_to_480_interaction_energies	146.17
TIME	parts_79_to_79_interaction_energies	66.32
TIME	parts_84_to_84_interaction_energies	69.93
TIME	parts_64_to_64_interaction_energies	71.74
TIME	parts_65_to_65_interaction_energies	72.26
TIME	parts_688_to_688_interaction_energies	66.79
TIME	parts_687_to_687_interaction_energies	67.05
TIME	parts_689_to_689_interaction_energies	63.71
TIME	parts_685_to_685_interaction_energies	65.7
TIME	parts_682_to_682_interaction_energies	69.92
TIME	parts_686_to_686_interaction_energies	67.3
TIME	parts_712_to_712_interaction_energies	65.11
TIME	parts_711_to_711_interaction_energies	65.69
TIME	parts_708_to_708_interaction_energies	67.07
TIME	parts_709_to_709_interaction_energies	66.59
TIME	parts_710_to_710_interaction_energies	66.82
TIME	parts_184_to_184_interaction_energies	70.01
TIME	parts_180_to_180_interaction_energies	70.14
TIME	parts_181_to_181_interaction_energies	72.42
TIME	parts_178_to_178_interaction_energies	73.61
TIME	parts_179_to_179_interaction_energies	65.45
TIME	parts_775_to_775_interaction_energies	66.04
TIME	parts_776_to_776_interaction_energies	64.62
TIME	parts_459_to_459_interaction_energies	143.77
TIME	parts_777_to_777_interaction_energies	67.32
TIME	parts_461_to_461_interaction_energies	147.25
TIME	parts_460_to_460_interaction_energies	145.04
TIME	parts_457_to_457_interaction_energies	147.02
TIME	parts_774_to_774_interaction_energies	68.42
TIME	parts_773_to_773_interaction_energies	68.17
TIME	parts_456_to_456_interaction_energies	148.23
TIME	parts_772_to_772_interaction_energies	67.64
TIME	parts_458_to_458_interaction_energies	147.51
TIME	parts_429_to_429_interaction_energies	67.5
TIME	parts_430_to_430_interaction_energies	67.96
TIME	parts_428_to_428_interaction_energies	70.52
TIME	parts_274_to_274_interaction_energies	74.64
TIME	parts_276_to_276_interaction_energies	75.72
TIME	parts_275_to_275_interaction_energies	75.39
TIME	parts_579_to_579_interaction_energies	68.4
TIME	parts_581_to_581_interaction_energies	68.22
TIME	parts_580_to_580_interaction_energies	68.47
TIME	parts_463_to_463_interaction_energies	145.56
TIME	parts_578_to_578_interaction_energies	68.76
TIME	parts_577_to_577_interaction_energies	68.67
TIME	parts_613_to_613_interaction_energies	67.79
TIME	parts_612_to_612_interaction_energies	68.1
TIME	parts_487_to_487_interaction_energies	143.23
TIME	parts_486_to_486_interaction_energies	144.32
TIME	parts_484_to_484_interaction_energies	141.37
TIME	parts_488_to_488_interaction_energies	146.28
TIME	parts_485_to_485_interaction_energies	143.78
TIME	parts_483_to_483_interaction_energies	144.75
TIME	parts_481_to_481_interaction_energies	144.48
TIME	parts_482_to_482_interaction_energies	145.06
TIME	parts_489_to_489_interaction_energies	152.27
TIME	parts_90_to_90_interaction_energies	64.74
TIME	parts_87_to_87_interaction_energies	68.44
TIME	parts_88_to_88_interaction_energies	68.76
TIME	parts_89_to_89_interaction_energies	70.5
TIME	parts_85_to_85_interaction_energies	70.06
TIME	parts_86_to_86_interaction_energies	70.85
TIME	parts_668_to_668_interaction_energies	65.64
TIME	parts_669_to_669_interaction_energies	66.38
TIME	parts_670_to_670_interaction_energies	67.95
TIME	parts_671_to_671_interaction_energies	67.62
TIME	parts_672_to_672_interaction_energies	68.19
TIME	parts_667_to_667_interaction_energies	70.43
TIME	parts_720_to_720_interaction_energies	65.23
TIME	parts_721_to_721_interaction_energies	66.0
TIME	parts_717_to_717_interaction_energies	66.58
TIME	parts_713_to_713_interaction_energies	67.63
TIME	parts_714_to_714_interaction_energies	68.01
TIME	parts_716_to_716_interaction_energies	67.82
TIME	parts_715_to_715_interaction_energies	67.81
TIME	parts_718_to_718_interaction_energies	63.8
TIME	parts_719_to_719_interaction_energies	65.25
TIME	parts_191_to_191_interaction_energies	67.62
TIME	parts_192_to_192_interaction_energies	68.23
TIME	parts_190_to_190_interaction_energies	65.85
TIME	parts_189_to_189_interaction_energies	70.33
TIME	parts_187_to_187_interaction_energies	73.08
TIME	parts_185_to_185_interaction_energies	73.31
TIME	parts_186_to_186_interaction_energies	73.15
TIME	parts_188_to_188_interaction_energies	71.33
TIME	parts_781_to_781_interaction_energies	136.67
TIME	parts_780_to_780_interaction_energies	135.41
TIME	parts_779_to_779_interaction_energies	140.72
TIME	parts_778_to_778_interaction_energies	139.73
TIME	parts_279_to_279_interaction_energies	65.31
TIME	parts_281_to_281_interaction_energies	72.3
TIME	parts_280_to_280_interaction_energies	70.72
TIME	parts_350_to_350_interaction_energies	73.61
TIME	parts_351_to_351_interaction_energies	76.14
TIME	parts_283_to_283_interaction_energies	72.15
TIME	parts_282_to_282_interaction_energies	74.33
TIME	parts_464_to_464_interaction_energies	146.19
TIME	parts_468_to_468_interaction_energies	145.0
TIME	parts_467_to_467_interaction_energies	147.11
TIME	parts_466_to_466_interaction_energies	144.13
TIME	parts_465_to_465_interaction_energies	145.22
TIME	parts_470_to_470_interaction_energies	146.96
TIME	parts_469_to_469_interaction_energies	148.74
TIME	parts_832_to_832_interaction_energies	141.42
TIME	parts_833_to_833_interaction_energies	142.93
TIME	parts_278_to_278_interaction_energies	73.27
TIME	parts_604_to_604_interaction_energies	65.63
TIME	parts_605_to_605_interaction_energies	65.8
TIME	parts_277_to_277_interaction_energies	77.68
TIME	parts_352_to_352_interaction_energies	77.49
TIME	parts_601_to_601_interaction_energies	67.49
TIME	parts_603_to_603_interaction_energies	67.83
TIME	parts_602_to_602_interaction_energies	67.74
TIME	parts_98_to_98_interaction_energies	67.69
TIME	parts_99_to_99_interaction_energies	69.36
TIME	parts_100_to_100_interaction_energies	69.63
TIME	parts_97_to_97_interaction_energies	72.07
TIME	parts_96_to_96_interaction_energies	72.75
TIME	parts_91_to_91_interaction_energies	72.94
TIME	parts_558_to_558_interaction_energies	143.51
TIME	parts_559_to_559_interaction_energies	143.57
TIME	parts_674_to_674_interaction_energies	63.74
TIME	parts_677_to_677_interaction_energies	65.84
TIME	parts_678_to_678_interaction_energies	66.14
TIME	parts_679_to_679_interaction_energies	66.45
TIME	parts_673_to_673_interaction_energies	67.22
TIME	parts_724_to_724_interaction_energies	65.17
TIME	parts_725_to_725_interaction_energies	65.15
TIME	parts_729_to_729_interaction_energies	65.3
TIME	parts_722_to_722_interaction_energies	69.17
TIME	parts_723_to_723_interaction_energies	68.44
TIME	parts_290_to_290_interaction_energies	66.15
TIME	parts_196_to_196_interaction_energies	71.04
TIME	parts_197_to_197_interaction_energies	70.98
TIME	parts_288_to_288_interaction_energies	72.87
TIME	parts_289_to_289_interaction_energies	74.29
TIME	parts_193_to_193_interaction_energies	70.65
TIME	parts_194_to_194_interaction_energies	72.86
