zRot: 180.0, x: 5.0, y: 0.0, z: 15.0, cut: 1, energy: -207.132400513, HV: HV_116, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_5, LCDR3: KCDR3_113, cluster: 4, assembly: 25, Pre-Relaxed: -207.563, Relaxed: -327.2063
zRot: 180.0, x: 5.0, y: 0.0, z: 15.0, cut: 5, energy: -170.589996338, HV: HV_120, HJ: HJ_1, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_5, LCDR3: KCDR3_124, cluster: 4, assembly: 32, Pre-Relaxed: -171.0206, Relaxed: nan
zRot: 180.0, x: 5.0, y: 2.5, z: 16.25, cut: 4, energy: -167.661697388, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_78, cluster: 5, assembly: 39, Pre-Relaxed: -166.7139, Relaxed: nan
zRot: 180.0, x: 5.0, y: 2.5, z: 16.25, cut: 5, energy: -166.571395874, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_128, cluster: 5, assembly: 40, Pre-Relaxed: -165.6236, Relaxed: nan
zRot: 120.0, x: -5.0, y: 2.5, z: 16.25, cut: 3, energy: -152.880203247, HV: HV_43, HJ: HJ_1, HCDR3: HCDR3_24, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 3, assembly: 17, Pre-Relaxed: -159.7839, Relaxed: nan
zRot: 120.0, x: -5.0, y: 2.5, z: 16.25, cut: 4, energy: -152.775100708, HV: HV_46, HJ: HJ_1, HCDR3: HCDR3_24, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 3, assembly: 18, Pre-Relaxed: -159.6788, Relaxed: nan
zRot: 120.0, x: -2.5, y: 2.5, z: 16.25, cut: 2, energy: -150.988494873, HV: HV_46, HJ: HJ_5, HCDR3: HCDR3_64, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 3, assembly: 19, Pre-Relaxed: -158.7861, Relaxed: nan
zRot: 120.0, x: -2.5, y: 2.5, z: 16.25, cut: 4, energy: -150.136199951, HV: HV_46, HJ: HJ_1, HCDR3: HCDR3_187, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 3, assembly: 20, Pre-Relaxed: -157.9338, Relaxed: nan
zRot: 300.0, x: 10.0, y: -7.5, z: 13.75, cut: 1, energy: -143.966293335, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_170, cluster: 7, assembly: 54, Pre-Relaxed: -145.8511, Relaxed: nan
zRot: 300.0, x: 10.0, y: -7.5, z: 13.75, cut: 2, energy: -143.560592651, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_162, cluster: 7, assembly: 55, Pre-Relaxed: -145.4454, Relaxed: nan
zRot: 300.0, x: 10.0, y: -7.5, z: 13.75, cut: 3, energy: -143.498001099, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_149, cluster: 7, assembly: 56, Pre-Relaxed: -145.3829, Relaxed: nan
zRot: 120.0, x: -5.0, y: 5.0, z: 16.25, cut: 1, energy: -132.623703003, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_151, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 1, assembly: 1, Pre-Relaxed: -140.2068, Relaxed: nan
zRot: 120.0, x: -5.0, y: 5.0, z: 16.25, cut: 2, energy: -129.25, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_351, LV: KV_7, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 1, assembly: 2, Pre-Relaxed: -137.0396, Relaxed: nan
zRot: 120.0, x: -5.0, y: 5.0, z: 16.25, cut: 3, energy: -128.57220459, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_351, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 1, assembly: 3, Pre-Relaxed: -136.1553, Relaxed: nan
zRot: 120.0, x: -5.0, y: 5.0, z: 16.25, cut: 4, energy: -127.83139801, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_384, LV: KV_7, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 1, assembly: 4, Pre-Relaxed: -135.6209, Relaxed: nan
zRot: 120.0, x: -5.0, y: 5.0, z: 16.25, cut: 5, energy: -127.1536026, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_384, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_25, cluster: 1, assembly: 5, Pre-Relaxed: -134.7366, Relaxed: nan
zRot: 0.0, x: 2.5, y: -7.5, z: 15.0, cut: 1, energy: -133.70249939, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_16, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_35, cluster: 2, assembly: 10, Pre-Relaxed: -133.8498, Relaxed: nan
zRot: 0.0, x: 2.5, y: -7.5, z: 15.0, cut: 2, energy: -133.149398804, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_16, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_29, cluster: 2, assembly: 11, Pre-Relaxed: -133.2966, Relaxed: nan
zRot: 0.0, x: 2.5, y: -7.5, z: 15.0, cut: 3, energy: -132.61340332, HV: HV_13, HJ: HJ_5, HCDR3: HCDR3_16, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_11, cluster: 2, assembly: 12, Pre-Relaxed: -132.7625, Relaxed: nan
zRot: 0.0, x: 2.5, y: -7.5, z: 15.0, cut: 4, energy: -132.438705444, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_16, LV: LV_32, LJ: LJ_5, LCDR3: LCDR3_35, cluster: 2, assembly: 13, Pre-Relaxed: -132.586, Relaxed: nan
zRot: 180.0, x: 10.0, y: -10.0, z: 16.25, cut: 4, energy: -140.023696899, HV: HV_8, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_43, LJ: KJ_3, LCDR3: KCDR3_129, cluster: 2, assembly: 9, Pre-Relaxed: -132.5402, Relaxed: nan
zRot: 0.0, x: 2.5, y: -7.5, z: 15.0, cut: 5, energy: -132.368606567, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_16, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_9, cluster: 2, assembly: 14, Pre-Relaxed: -132.5158, Relaxed: nan
zRot: 120.0, x: 0.0, y: -5.0, z: 16.25, cut: 1, energy: -131.115005493, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_2, LV: LV_36, LJ: LJ_5, LCDR3: LCDR3_36, cluster: 2, assembly: 15, Pre-Relaxed: -131.2663, Relaxed: nan
zRot: 120.0, x: 0.0, y: -5.0, z: 16.25, cut: 2, energy: -130.671005249, HV: HV_135, HJ: HJ_1, HCDR3: HCDR3_2, LV: LV_30, LJ: LJ_5, LCDR3: LCDR3_36, cluster: 2, assembly: 16, Pre-Relaxed: -130.8223, Relaxed: nan
zRot: 0.0, x: -5.0, y: 2.5, z: 16.25, cut: 5, energy: -119.566497803, HV: HV_60, HJ: HJ_1, HCDR3: HCDR3_3, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_63, cluster: 3, assembly: 21, Pre-Relaxed: -120.6874, Relaxed: nan
zRot: 0.0, x: -5.0, y: 0.0, z: 16.25, cut: 1, energy: -116.498703003, HV: HV_43, HJ: HJ_1, HCDR3: HCDR3_3, LV: KV_6, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 3, assembly: 24, Pre-Relaxed: -117.921, Relaxed: nan
zRot: 0.0, x: 7.5, y: -10.0, z: 13.75, cut: 1, energy: -117.439300537, HV: HV_55, HJ: HJ_1, HCDR3: HCDR3_71, LV: KV_15, LJ: KJ_3, LCDR3: KCDR3_116, cluster: 3, assembly: 22, Pre-Relaxed: -115.1974, Relaxed: nan
zRot: 0.0, x: 7.5, y: -10.0, z: 13.75, cut: 5, energy: -116.785499573, HV: HV_52, HJ: HJ_1, HCDR3: HCDR3_71, LV: KV_15, LJ: KJ_3, LCDR3: KCDR3_116, cluster: 3, assembly: 23, Pre-Relaxed: -114.5931, Relaxed: nan
zRot: 60.0, x: 7.5, y: -10.0, z: 16.25, cut: 1, energy: -105.705802917, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_62, LV: LV_23, LJ: LJ_5, LCDR3: LCDR3_9, cluster: 1, assembly: 6, Pre-Relaxed: -105.2381, Relaxed: nan
zRot: 60.0, x: 7.5, y: -10.0, z: 16.25, cut: 2, energy: -105.602798462, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_62, LV: LV_23, LJ: LJ_5, LCDR3: LCDR3_22, cluster: 1, assembly: 7, Pre-Relaxed: -105.1351, Relaxed: nan
zRot: 60.0, x: 7.5, y: -10.0, z: 16.25, cut: 3, energy: -105.590103149, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_62, LV: LV_23, LJ: LJ_5, LCDR3: LCDR3_17, cluster: 1, assembly: 8, Pre-Relaxed: -105.1225, Relaxed: nan
