zRot: 60.0, x: 5.0, y: -7.5, z: 16.25, cut: 1, energy: -171.386001587, HV: HV_92, HJ: HJ_5, HCDR3: HCDR3_2, LV: LV_31, LJ: LJ_1, LCDR3: LCDR3_31, cluster: 7, assembly: 49, Pre-Relaxed: -171.3457, Relaxed: -175.6856
zRot: 60.0, x: -2.5, y: -2.5, z: 16.25, cut: 3, energy: -113.959503174, HV: HV_50, HJ: HJ_5, HCDR3: HCDR3_49, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_62, cluster: 1, assembly: 8, Pre-Relaxed: -114.0432, Relaxed: nan
zRot: 120.0, x: 2.5, y: 2.5, z: 16.25, cut: 2, energy: -110.430702209, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_62, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 4, assembly: 25, Pre-Relaxed: -110.0993, Relaxed: nan
zRot: 120.0, x: 2.5, y: 2.5, z: 16.25, cut: 4, energy: -109.279602051, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_21, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 4, assembly: 26, Pre-Relaxed: -108.9482, Relaxed: nan
zRot: 120.0, x: 5.0, y: -10.0, z: 16.25, cut: 2, energy: -108.944702148, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_81, cluster: 3, assembly: 18, Pre-Relaxed: -107.8736, Relaxed: nan
zRot: 120.0, x: 5.0, y: -10.0, z: 16.25, cut: 4, energy: -105.615097046, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_24, LV: KV_38, LJ: KJ_4, LCDR3: KCDR3_103, cluster: 3, assembly: 19, Pre-Relaxed: -104.0313, Relaxed: nan
zRot: 120.0, x: 5.0, y: -10.0, z: 16.25, cut: 5, energy: -103.739997864, HV: HV_17, HJ: HJ_5, HCDR3: HCDR3_24, LV: KV_67, LJ: KJ_4, LCDR3: KCDR3_80, cluster: 3, assembly: 20, Pre-Relaxed: -102.6688, Relaxed: nan
zRot: 120.0, x: 2.5, y: -7.5, z: 16.25, cut: 1, energy: -102.470596313, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_24, LV: LV_30, LJ: LJ_5, LCDR3: LCDR3_20, cluster: 3, assembly: 21, Pre-Relaxed: -101.6616, Relaxed: nan
zRot: 120.0, x: 2.5, y: -7.5, z: 16.25, cut: 2, energy: -101.750801086, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_24, LV: LV_30, LJ: LJ_5, LCDR3: LCDR3_35, cluster: 3, assembly: 22, Pre-Relaxed: -100.942, Relaxed: nan
zRot: 120.0, x: 0.0, y: 2.5, z: 16.25, cut: 1, energy: -99.973197937, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_60, LV: KV_36, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 4, assembly: 27, Pre-Relaxed: -98.6656, Relaxed: nan
zRot: 120.0, x: 2.5, y: -7.5, z: 16.25, cut: 5, energy: -98.9248962402, HV: HV_8, HJ: HJ_1, HCDR3: HCDR3_24, LV: LV_30, LJ: LJ_5, LCDR3: LCDR3_29, cluster: 3, assembly: 23, Pre-Relaxed: -98.116, Relaxed: nan
zRot: 120.0, x: 0.0, y: 2.5, z: 16.25, cut: 2, energy: -99.224899292, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_60, LV: KV_10, LJ: KJ_2, LCDR3: KCDR3_123, cluster: 4, assembly: 28, Pre-Relaxed: -97.604, Relaxed: nan
zRot: 120.0, x: 0.0, y: 2.5, z: 16.25, cut: 4, energy: -98.5612030029, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_63, LV: KV_36, LJ: KJ_2, LCDR3: KCDR3_123, cluster: 4, assembly: 30, Pre-Relaxed: -97.2534, Relaxed: nan
zRot: 120.0, x: 0.0, y: 2.5, z: 16.25, cut: 5, energy: -98.3843994141, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_223, LV: KV_5, LJ: KJ_3, LCDR3: KCDR3_123, cluster: 4, assembly: 31, Pre-Relaxed: -97.0522, Relaxed: nan
zRot: 120.0, x: 0.0, y: 2.5, z: 16.25, cut: 3, energy: -99.0973968506, HV: HV_138, HJ: HJ_4, HCDR3: HCDR3_63, LV: KV_9, LJ: KJ_2, LCDR3: KCDR3_123, cluster: 4, assembly: 29, Pre-Relaxed: -96.472, Relaxed: nan
zRot: 60.0, x: 2.5, y: 0.0, z: 16.25, cut: 1, energy: -85.1755981445, HV: HV_138, HJ: HJ_1, HCDR3: HCDR3_94, LV: LV_28, LJ: LJ_5, LCDR3: LCDR3_36, cluster: 4, assembly: 32, Pre-Relaxed: -84.9908, Relaxed: nan
zRot: 120.0, x: -2.5, y: 5.0, z: 16.25, cut: 1, energy: -83.3803024292, HV: HV_134, HJ: HJ_1, HCDR3: HCDR3_421, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_120, cluster: 3, assembly: 24, Pre-Relaxed: -82.828, Relaxed: nan
zRot: 120.0, x: 5.0, y: 0.0, z: 15.0, cut: 1, energy: -78.4542007446, HV: HV_137, HJ: HJ_4, HCDR3: HCDR3_8, LV: KV_2, LJ: KJ_3, LCDR3: KCDR3_3, cluster: 2, assembly: 11, Pre-Relaxed: -78.5627, Relaxed: nan
zRot: 120.0, x: 5.0, y: 0.0, z: 15.0, cut: 2, energy: -77.5084991455, HV: HV_135, HJ: HJ_4, HCDR3: HCDR3_8, LV: KV_2, LJ: KJ_3, LCDR3: KCDR3_3, cluster: 2, assembly: 12, Pre-Relaxed: -77.6171, Relaxed: nan
zRot: 120.0, x: 5.0, y: 0.0, z: 15.0, cut: 3, energy: -74.9576034546, HV: HV_137, HJ: HJ_4, HCDR3: HCDR3_5, LV: KV_2, LJ: KJ_3, LCDR3: KCDR3_3, cluster: 2, assembly: 13, Pre-Relaxed: -75.0661, Relaxed: nan
zRot: 120.0, x: 5.0, y: 0.0, z: 15.0, cut: 4, energy: -74.7608032227, HV: HV_137, HJ: HJ_4, HCDR3: HCDR3_3, LV: KV_2, LJ: KJ_3, LCDR3: KCDR3_3, cluster: 2, assembly: 14, Pre-Relaxed: -74.8693, Relaxed: nan
zRot: 120.0, x: 5.0, y: 0.0, z: 16.25, cut: 1, energy: -66.4485015869, HV: HV_137, HJ: HJ_4, HCDR3: HCDR3_8, LV: KV_2, LJ: KJ_3, LCDR3: KCDR3_3, cluster: 2, assembly: 15, Pre-Relaxed: -66.5256, Relaxed: nan
zRot: 120.0, x: 5.0, y: 0.0, z: 16.25, cut: 2, energy: -66.4389038086, HV: HV_135, HJ: HJ_4, HCDR3: HCDR3_8, LV: KV_2, LJ: KJ_3, LCDR3: KCDR3_3, cluster: 2, assembly: 16, Pre-Relaxed: -66.516, Relaxed: nan
