zRot: 240.0, x: 10.0, y: 2.5, z: 16.25, cut: 1, energy: -143.962997437, HV: HV_135, HJ: HJ_5, HCDR3: HCDR3_62, LV: KV_64, LJ: KJ_3, LCDR3: KCDR3_11, cluster: 5, assembly: 33, Pre-Relaxed: -159.8435, Relaxed: nan
zRot: 300.0, x: 7.5, y: -2.5, z: 16.25, cut: 5, energy: -132.785903931, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_62, LV: KV_65, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 6, assembly: 46, Pre-Relaxed: -139.4039, Relaxed: nan
zRot: 300.0, x: 10.0, y: -2.5, z: 16.25, cut: 1, energy: -129.751296997, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_222, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 6, assembly: 48, Pre-Relaxed: -134.0116, Relaxed: nan
zRot: 60.0, x: 10.0, y: -10.0, z: 15.0, cut: 5, energy: -130.196792603, HV: HV_102, HJ: HJ_5, HCDR3: HCDR3_420, LV: KV_61, LJ: KJ_3, LCDR3: KCDR3_101, cluster: 6, assembly: 47, Pre-Relaxed: -132.6523, Relaxed: nan
zRot: 240.0, x: 7.5, y: 5.0, z: 16.25, cut: 5, energy: -118.200401306, HV: HV_134, HJ: HJ_5, HCDR3: HCDR3_62, LV: LV_28, LJ: LJ_5, LCDR3: LCDR3_21, cluster: 7, assembly: 49, Pre-Relaxed: -130.2874, Relaxed: nan
zRot: 180.0, x: 10.0, y: -5.0, z: 16.25, cut: 1, energy: -110.65650177, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_80, LV: KV_64, LJ: KJ_1, LCDR3: KCDR3_38, cluster: 1, assembly: 1, Pre-Relaxed: -123.5419, Relaxed: nan
zRot: 180.0, x: 10.0, y: -5.0, z: 16.25, cut: 2, energy: -109.869697571, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_80, LV: KV_52, LJ: KJ_1, LCDR3: KCDR3_38, cluster: 1, assembly: 2, Pre-Relaxed: -122.755, Relaxed: nan
zRot: 180.0, x: 10.0, y: -5.0, z: 16.25, cut: 3, energy: -109.160202026, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_80, LV: KV_4, LJ: KJ_1, LCDR3: KCDR3_38, cluster: 1, assembly: 3, Pre-Relaxed: -122.0456, Relaxed: nan
zRot: 180.0, x: 10.0, y: -5.0, z: 16.25, cut: 4, energy: -109.102203369, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_80, LV: KV_51, LJ: KJ_1, LCDR3: KCDR3_38, cluster: 1, assembly: 4, Pre-Relaxed: -121.9876, Relaxed: nan
zRot: 180.0, x: 10.0, y: -5.0, z: 16.25, cut: 5, energy: -108.954597473, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_80, LV: KV_5, LJ: KJ_1, LCDR3: KCDR3_38, cluster: 1, assembly: 5, Pre-Relaxed: -121.8399, Relaxed: nan
zRot: 180.0, x: 10.0, y: -7.5, z: 16.25, cut: 1, energy: -106.67780304, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_21, LV: KV_43, LJ: KJ_5, LCDR3: KCDR3_113, cluster: 4, assembly: 25, Pre-Relaxed: -120.3928, Relaxed: nan
zRot: 60.0, x: 10.0, y: 5.0, z: 16.25, cut: 1, energy: -120.0911026, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: LV_31, LJ: LJ_6, LCDR3: LCDR3_29, cluster: 2, assembly: 11, Pre-Relaxed: -120.1199, Relaxed: nan
zRot: 60.0, x: 10.0, y: 5.0, z: 16.25, cut: 2, energy: -120.035003662, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: LV_31, LJ: LJ_6, LCDR3: LCDR3_14, cluster: 2, assembly: 12, Pre-Relaxed: -120.0638, Relaxed: nan
zRot: 60.0, x: 10.0, y: 5.0, z: 16.25, cut: 3, energy: -120.022102356, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: LV_31, LJ: LJ_6, LCDR3: LCDR3_31, cluster: 2, assembly: 13, Pre-Relaxed: -120.0509, Relaxed: nan
zRot: 120.0, x: -2.5, y: -7.5, z: 16.25, cut: 3, energy: -88.039100647, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_38, LJ: KJ_1, LCDR3: KCDR3_38, cluster: 3, assembly: 19, Pre-Relaxed: -119.7575, Relaxed: nan
zRot: 60.0, x: 10.0, y: 5.0, z: 16.25, cut: 4, energy: -118.307296753, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: LV_32, LJ: LJ_6, LCDR3: LCDR3_29, cluster: 2, assembly: 14, Pre-Relaxed: -118.336, Relaxed: nan
zRot: 60.0, x: 10.0, y: 5.0, z: 16.25, cut: 5, energy: -118.251197815, HV: HV_114, HJ: HJ_2, HCDR3: HCDR3_277, LV: LV_32, LJ: LJ_6, LCDR3: LCDR3_14, cluster: 2, assembly: 16, Pre-Relaxed: -118.28, Relaxed: nan
zRot: 120.0, x: -2.5, y: -7.5, z: 16.25, cut: 4, energy: -85.7014007568, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_38, LJ: KJ_1, LCDR3: KCDR3_124, cluster: 3, assembly: 20, Pre-Relaxed: -117.42, Relaxed: nan
zRot: 120.0, x: -2.5, y: -7.5, z: 16.25, cut: 5, energy: -83.7253036499, HV: HV_82, HJ: HJ_5, HCDR3: HCDR3_2, LV: KV_38, LJ: KJ_1, LCDR3: KCDR3_130, cluster: 3, assembly: 21, Pre-Relaxed: -115.4437, Relaxed: nan
zRot: 300.0, x: 5.0, y: -5.0, z: 16.25, cut: 1, energy: -108.255897522, HV: HV_41, HJ: HJ_5, HCDR3: HCDR3_9, LV: KV_7, LJ: KJ_3, LCDR3: KCDR3_117, cluster: 1, assembly: 6, Pre-Relaxed: -114.6433, Relaxed: nan
zRot: 180.0, x: 10.0, y: -7.5, z: 16.25, cut: 2, energy: -94.4700012207, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_21, LV: KV_43, LJ: KJ_3, LCDR3: KCDR3_6, cluster: 4, assembly: 26, Pre-Relaxed: -108.185, Relaxed: nan
zRot: 180.0, x: 10.0, y: -7.5, z: 16.25, cut: 3, energy: -91.3460998535, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_14, LV: KV_43, LJ: KJ_5, LCDR3: KCDR3_113, cluster: 4, assembly: 27, Pre-Relaxed: -105.0612, Relaxed: nan
zRot: 300.0, x: 5.0, y: -5.0, z: 16.25, cut: 2, energy: -98.3254013062, HV: HV_41, HJ: HJ_5, HCDR3: HCDR3_9, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_187, cluster: 1, assembly: 7, Pre-Relaxed: -104.7129, Relaxed: nan
zRot: 300.0, x: 5.0, y: -5.0, z: 16.25, cut: 3, energy: -97.4214019775, HV: HV_41, HJ: HJ_5, HCDR3: HCDR3_9, LV: KV_7, LJ: KJ_4, LCDR3: KCDR3_188, cluster: 1, assembly: 8, Pre-Relaxed: -103.8089, Relaxed: nan
zRot: 180.0, x: 10.0, y: -7.5, z: 16.25, cut: 4, energy: -88.4097976685, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_21, LV: KV_43, LJ: KJ_3, LCDR3: KCDR3_7, cluster: 4, assembly: 28, Pre-Relaxed: -102.1249, Relaxed: nan
zRot: 180.0, x: 10.0, y: -7.5, z: 16.25, cut: 5, energy: -87.7223968506, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_21, LV: KV_43, LJ: KJ_5, LCDR3: KCDR3_174, cluster: 4, assembly: 29, Pre-Relaxed: -101.4374, Relaxed: nan
zRot: 60.0, x: 0.0, y: -7.5, z: 16.25, cut: 1, energy: -92.2630996704, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_1, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_4, cluster: 7, assembly: 50, Pre-Relaxed: -96.274, Relaxed: nan
zRot: 60.0, x: 0.0, y: -7.5, z: 16.25, cut: 2, energy: -90.2393035889, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_1, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_20, cluster: 7, assembly: 51, Pre-Relaxed: -94.2502, Relaxed: nan
zRot: 60.0, x: 0.0, y: -7.5, z: 16.25, cut: 3, energy: -90.1188964844, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_1, LV: LV_32, LJ: LJ_5, LCDR3: LCDR3_4, cluster: 7, assembly: 52, Pre-Relaxed: -94.1297, Relaxed: nan
zRot: 60.0, x: 0.0, y: -7.5, z: 16.25, cut: 4, energy: -90.0551986694, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_1, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_5, cluster: 7, assembly: 53, Pre-Relaxed: -94.0661, Relaxed: nan
zRot: 60.0, x: 0.0, y: -7.5, z: 16.25, cut: 5, energy: -89.9813995361, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_1, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_35, cluster: 7, assembly: 54, Pre-Relaxed: -93.9923, Relaxed: nan
zRot: 60.0, x: 10.0, y: 5.0, z: 15.0, cut: 4, energy: -93.7235031128, HV: HV_41, HJ: HJ_5, HCDR3: HCDR3_318, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_29, cluster: 3, assembly: 17, Pre-Relaxed: -93.6986, Relaxed: nan
zRot: 60.0, x: 10.0, y: 5.0, z: 15.0, cut: 5, energy: -93.7169036865, HV: HV_41, HJ: HJ_4, HCDR3: HCDR3_318, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_5, cluster: 3, assembly: 18, Pre-Relaxed: -93.6918, Relaxed: nan
zRot: 240.0, x: 7.5, y: 5.0, z: 15.0, cut: 1, energy: -70.537399292, HV: HV_12, HJ: HJ_3, HCDR3: HCDR3_1, LV: LV_28, LJ: LJ_5, LCDR3: LCDR3_21, cluster: 7, assembly: 55, Pre-Relaxed: -88.5371, Relaxed: nan
zRot: 240.0, x: 7.5, y: 5.0, z: 15.0, cut: 2, energy: -67.1868972778, HV: HV_134, HJ: HJ_5, HCDR3: HCDR3_2, LV: LV_28, LJ: LJ_5, LCDR3: LCDR3_21, cluster: 7, assembly: 56, Pre-Relaxed: -84.5015, Relaxed: nan
zRot: 180.0, x: 10.0, y: -10.0, z: 16.25, cut: 1, energy: -77.5384979248, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_28, LV: KV_38, LJ: KJ_2, LCDR3: KCDR3_113, cluster: 4, assembly: 30, Pre-Relaxed: -83.8291, Relaxed: nan
zRot: 240.0, x: 7.5, y: 2.5, z: 16.25, cut: 3, energy: -66.7520980835, HV: HV_41, HJ: HJ_5, HCDR3: HCDR3_9, LV: LV_31, LJ: LJ_5, LCDR3: LCDR3_4, cluster: 3, assembly: 22, Pre-Relaxed: -83.5076, Relaxed: nan
zRot: 240.0, x: 7.5, y: 2.5, z: 16.25, cut: 4, energy: -66.126701355, HV: HV_41, HJ: HJ_5, HCDR3: HCDR3_9, LV: LV_32, LJ: LJ_5, LCDR3: LCDR3_4, cluster: 3, assembly: 23, Pre-Relaxed: -82.8822, Relaxed: nan
zRot: 120.0, x: -5.0, y: -5.0, z: 16.25, cut: 1, energy: -19.285200119, HV: HV_46, HJ: HJ_5, HCDR3: HCDR3_3, LV: KV_38, LJ: KJ_1, LCDR3: KCDR3_181, cluster: 3, assembly: 24, Pre-Relaxed: -39.8596, Relaxed: nan
zRot: 300.0, x: 2.5, y: 0.0, z: 16.25, cut: 1, energy: -20.7390995026, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_8, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_7, cluster: 4, assembly: 31, Pre-Relaxed: -26.1379, Relaxed: nan
zRot: 300.0, x: 2.5, y: 0.0, z: 16.25, cut: 2, energy: -20.6837005615, HV: HV_123, HJ: HJ_5, HCDR3: HCDR3_8, LV: KV_44, LJ: KJ_4, LCDR3: KCDR3_25, cluster: 4, assembly: 32, Pre-Relaxed: -26.0825, Relaxed: nan
